variable,label,question,valid_range,missing_codes,years_available,has_notes,n_value_labels
VCF0170b,County of IW 1964-1976,Sampling PSU-county code 1964-1976,,,"1964, 1966, 1968, 1970, 1972, 1974, 1976",Yes,0
VCF0170c,County of IW 1968-1982,ICPSR county code 1968-1982,,,"1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982",Yes,0
VCF0170d,"County of IW 1970,1978-1998","FIPS state-county code 1970,1978-1998",,,"1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998",Yes,0
VCF0201,Thermometer - Democrats,Democrats – feeling thermometer,0-97,98;99,"1964, 1966, 1968, 1970, 1972, 1974, 1976, 1980, 1982",Yes,3
VCF0202,Thermometer - Republicans,Republicans – feeling thermometer,0-97,98;99,"1964, 1966, 1968, 1970, 1972, 1974, 1976, 1980, 1982",Yes,3
VCF0203,Thermometer - Protestants,Protestants – feeling thermometer,0-97,98;99,"1964, 1966, 1968, 1972, 1976, 2000, 2002",Yes,3
VCF0204,Thermometer - Catholics,Catholics – feeling thermometer,0-97,98;99,"1964, 1966, 1968, 1972, 1976, 1984, 1988, 1992, 2000, 2002, 2004, 2008, 2012",Yes,3
VCF0205,Thermometer - Jews,Jews – feeling thermometer,0-97,98;99,"1964, 1966, 1968, 1972, 1976, 1988, 1992, 2000, 2002, 2004, 2008, 2016, 2020, 2024",Yes,3
VCF0206,Thermometer - Blacks,Blacks – feeling thermometer,0-97,98;99,"1964, 1966, 1968, 1970, 1972, 1974, 1976, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0207,Thermometer - Whites,Whites – feeling thermometer,0-97,98;99,"1964, 1966, 1968, 1970, 1972, 1974, 1976, 1980, 1982, 1984, 1988, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0208,Thermometer - Southerners,Southerners – feeling thermometer,0-97,98;99,"1964, 1968, 1972, 1976, 1980, 1992, 2004, 2008",Yes,3
VCF0209,Thermometer - Big Business,Big business – feeling thermometer,0-97,98;99,"1964, 1966, 1968, 1972, 1974, 1976, 1980, 1984, 1988, 1992, 1994, 1996, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0210,Thermometer - Labor Unions,Labor unions – feeling thermometer,0-97,98;99,"1964, 1966, 1968, 1972, 1974, 1976, 1980, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0211,Thermometer - Liberals,Liberals – feeling thermometer,0-97,98;99,"1964, 1966, 1968, 1970, 1972, 1974, 1976, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0212,Thermometer - Conservatives,Conservatives – feeling thermometer,0-97,98;99,"1964, 1966, 1968, 1970, 1972, 1974, 1976, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0213,Thermometer - Military,Military – feeling thermometer,0-97,98;99,"1964, 1968, 1970, 1972, 1974, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2002, 2004, 2008, 2012",Yes,3
VCF0214,Thermometer - Policemen/Police,Policemen (1992: the police; 2016: police) – feeling thermometer,0-97,98;99,"1966, 1968, 1970, 1972, 1974, 1976, 1992, 2016, 2020, 2024",Yes,3
VCF0215,Thermometer - Black Militants,Black militants – feeling thermometer,0-97,98;99,"1970, 1972, 1974, 1976, 1980, 1984, 1986",Yes,3
VCF0216,Thermometer - Civil Rights Leaders,Civil rights leaders – feeling thermometer,0-97,98;99,"1970, 1972, 1974, 1976, 1980, 1984, 1988",Yes,3
VCF0217,Thermometer - Chicanos/Hispanics,"1976: Chicanos –feeling thermometer
1980,1984,1988: Hispanics–
feeling thermometer
1992: Hispanic-Americans– feeling
the",0-97,98;99,"1976, 1980, 1984, 1988, 1992, 1994, 1996, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0218,Thermometer - Democratic Party,The Democratic Party – feeling thermometer,0-97,98;99,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0219,Thermometer - Middle Class People,Middle class people – feeling thermometer,0-97,98;99,"1972, 1974, 1976, 1980, 1984, 2004, 2008, 2012",Yes,3
VCF0220,Thermometer - People on Welfare,People on welfare – feeling thermometer,0-97,98;99,"1976, 1980, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2002, 2004, 2008, 2012",Yes,3
VCF0221,Thermometer - Political Independents,People who call themselves political independents - feeling thermometer,0-97,98;99,"1980, 1982, 1984",Yes,3
VCF0222,Thermometer - Political Parties,"Political parties, in general – feeling thermometer",0-97,98;99,"1980, 1982, 1984, 1986, 1990, 1994, 1996, 2000",Yes,3
VCF0223,Thermometer - Poor People,Poor people – feeling thermometer,0-97,98;99,"1972, 1974, 1976, 1980, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016",Yes,3
VCF0224,Thermometer - Republican Party,The Republican Party – feeling thermometer,0-97,98;99,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0225,Thermometer - Womens Libbers,"1970-1976,1980,1984: the women’s liberation movement–feeling
thermometer
1986,1990,1992,1996: the women’s movement–feeli",0-97,98;99,"1970, 1972, 1974, 1976, 1980, 1984, 1986, 1990, 1992, 1994, 1996, 2000",Yes,3
VCF0226,Thermometer - Young People,Young people – feeling thermometer,0-97,98;99,"1972, 1974, 1976, 1980, 2004",Yes,3
VCF0227,Thermometer - Asian-Americans,Asian-Americans – thermometer,0-97,98;99,"1992, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0228,Thermometer - Congress,"1998: U.S. Congress – thermometer
1980,1988,1992,2000-later: Congress
(1980,1992: that is, the U.S.
Senate and the House",0-97,98;99,"1980, 1988, 1992, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0229,Thermometer - Environmentalists,"1980,1988,1990: people seeking to protect the environment
–thermometer
1994-later: environmentalists – thermometer",0-97,98;99,"1980, 1988, 1990, 1992, 1994, 1996, 2000, 2002, 2004, 2008",Yes,3
VCF0230,Thermometer - Anti-Abortionists,"1984: Anti-abortionists – thermometer
1988,1990: Opponents of
abortion – thermometer",0-97,98;99,"1984, 1988, 1990",Yes,3
VCF0231,Thermometer - Federal Government,The federal government in Washington – thermometer,0-97,98;99,"1980, 1988, 1992, 1996, 2000, 2002, 2004, 2008, 2012",Yes,3
VCF0232,Thermometer - Gays and Lesbians,"Gay men and lesbians (that is), homosexuals – thermometer",0-97,98;99,"1984, 1988, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0233,Thermometer - Illegal Aliens,Illegal aliens (2004-later: illegal immigrants) – thermometer,0-97,98;99,"1988, 1992, 1994, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0234,Thermometer - Christian Fundamentalists,Christian fundamentalists – thermometer,0-97,98;99,"1988, 1992, 1994, 1996, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0235,Thermometer - Radical Students,Radical students – thermometer,0-97,98;99,"1970, 1972, 1974, 1976, 1980",Yes,3
VCF0236,Thermometer - Farmers,Farmers – thermometer,0-97,98;99,"1972, 1974, 1980",Yes,3
VCF0253,Thermometer - Feminists,Feminists – feeling thermometer,0-97,98;99,"1988, 1992, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0290,Thermometer Average - Major Parties,Thermometers –both major parties,,998;999,2020,Yes,2
VCF0291,Thermometer Index - Major Parties,Major party thermometer index,2-99,998;999,2020,Yes,5
VCF0301,Party Identification of Respondent- 7-point Scale,"Generally speaking, do you usually think of yourself as a
Republican,
a Democrat, an Independent, or what? (IF REPUBLICA",1-7,0,"1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,8
VCF0302,Party Identification of Respondent- Initial Party ID Response,"Generally speaking, do you usually think of yourself as a
Republican,
a Democrat, an Independent, or what?",1-5,8;9,"1968, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,7
VCF0303,Party Identification of Respondent- Summary 3-Category,Party ID - 3 categories,1-3,0,"1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2020, 2024",Yes,4
VCF0305,Party Identification of Respondent- Strength of Partisanship,Party ID - strength of partisanship,1-4,0,"1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2020, 2024",Yes,5
VCF0306,Party Identification of Respondent's Father,"(1970,1988,1990: When you were growing up) Did he/your
father
(1988,1992: or stepfather) think of himself mostly as a
De",1-4,0;9,"1952, 1958, 1964, 1968, 1970, 1972, 1976, 1978, 1980, 1988, 1992",Yes,6
VCF0307,Party Identification of Respondent's Mother,"(1970,1988,1990: When you were growing up) Did she/your
mother
(1988,1992: or stepmother) think of himself mostly as a
D",1-4,0;9,"1952, 1958, 1964, 1968, 1970, 1972, 1976, 1978, 1980, 1988, 1992",Yes,6
VCF0308,Political Interest of Respondent's Father,"Do you remember when you were growing up whether your father was
very
much interested in politics, somewhat interested, ",1-3,0;9,"1958, 1964, 1968, 1972, 1976",No,5
VCF0309,Political Interest of Respondent's Mother,"Now how about your mother? When you were growing up was she very
much
interested in politics, somewhat interested, or di",1-3,0;9,"1958, 1964, 1968, 1972, 1976",No,5
VCF0310,Interest in the Elections,"Some people don’t pay much attention to political campaigns.
How
about you, would you say that you have been/were very m",1-9,0,"1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0311,Does Respondent Care Which Party Wins Presidential Election,"Generally speaking, would you say that you personally care a good
deal
which party (1992 and later: who) wins the presid",1-2,0,"1952, 1956, 1960, 1964, 1968, 1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012",Yes,3
VCF0312,Respondent Care(d) Which Party Wins Congressional Election,"POST ADMINISTRATION: 
As you know, representatives to Congress in
Washington are being chosen
in this election from cong",1-2,0,"1966, 1970, 1974, 1978, 1980, 1982, 1986, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2008",Yes,3
VCF0313,Interest in Public Affairs,"1964 AND LATER: 
Some people seem to follow (1964: think about)
what’s going on in
government and public affairs most of",1-9,0,"1960, 1962, 1964, 1966, 1968, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008",Yes,6
VCF0314,Democratic Party: Respondent Likes - Number of Mentions,"Is there anything in particular that you like about the
Democratic
party?
What is that? Anything else [you like about th",0-5,9,"1952, 1956, 1958, 1960, 1964, 1968, 1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,7
VCF0315,Democratic Party: Respondent Dislikes - Number of Mentions,"Is there anything in particular that you don’t like about
the
Democratic party?
What is that? Anything else [you don’t l",0-5,9,"1952, 1956, 1958, 1960, 1964, 1968, 1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,7
VCF0316,Democratic Party: Affect (Likes-Dislikes),Affect toward Democratic Party,,99,,Yes,4
VCF0317,Democratic Party: Salience (Likes-Dislikes),Salience of Democratic Party,0-10,99,,Yes,3
VCF0318,Republican Party: Respondent Likes - Number of Mentions,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",0-5,9,"1952, 1956, 1958, 1960, 1964, 1968, 1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,7
VCF0319,Republican Party: Respondent Dislikes - Number of Mentions,"Is there anything in particular that you don’t like about
the
Republican party?
What is that? Anything else [you don’t l",0-5,9,"1952, 1956, 1958, 1960, 1964, 1968, 1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,7
VCF0320,Republican Party: Affect (Likes-Dislikes),Affect toward Republican Party,,99,,Yes,4
VCF0321,Republican Party: Salience (Likes-Dislikes),Salience of Republican Party,0-10,99,,Yes,3
VCF0322,Major Parties: Affect (Likes-Dislikes),Net affect toward major parties,,999,,Yes,4
VCF0323,Major Parties: Salience (Likes-Dislikes),Major party salience,0-20,99,,Yes,3
VCF0324,Major Parties: Relative Salience (Likes-Dislikes),Relative salience of major parties,,999,"1984, 1986, 1988, 1992, 1996, 2000, 2002, 2004, 2008",Yes,4
VCF0338,President- Intelligent,President trait- Intelligent,1-4,0;8;9,"1984, 1986, 1988, 1992, 1996, 2000, 2002, 2004, 2008",Yes,7
VCF0339,President- Compassionate,President trait - compassionate,1-4,0;8;9,"1984, 1986, 1988, 1992, 1996",Yes,7
VCF0340,President- Decent,President trait - decent,1-4,0;8;9,"1984, 1986, 1988",Yes,7
VCF0341,President- Inspiring,President trait- inspiring,1-4,0;8;9,"1980, 1982, 1984, 1986, 1988, 1992, 1996",Yes,7
VCF0342,President- Knowledgeable,President trait - knowledgeable,1-4,0;8;9,"1980, 1982, 1984, 1986, 1988, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008",Yes,7
VCF0343,President- Moral,President trait - moral,1-4,0;8;9,"1980, 1982, 1984, 1986, 1988, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008",Yes,7
VCF0344,President- Leadership,President trait - provides strong leadership,1-4,0;8;9,"1980, 1982, 1984, 1986, 1988, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008",Yes,7
VCF0345,President- Cares,President trait - really cares about people like you,1-4,0;8;9,"1984, 1986, 1988, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008",Yes,7
VCF0346,President- Angry,President affect: angry,1-2,0;8;9,"1980, 1982, 1984, 1986, 1988, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016",Yes,5
VCF0347,President- Afraid,President affect: afraid (of him),1-2,0;8;9,"1980, 1982, 1984, 1986, 1988, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012",Yes,5
VCF0348,President- Hopeful,President affect: hopeful,1-2,0;8;9,"1980, 1982, 1984, 1986, 1988, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012",Yes,5
VCF0349,President- Proud,President affect: proud,1-2,0;8;9,"1980, 1982, 1984, 1986, 1988, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016",Yes,5
VCF0350,Democratic Presidential Cand- Intelligent,Democratic Presidential candidate trait - intelligent,1-4,8;9,"1984, 1988, 1992, 1996, 2000, 2004, 2008",Yes,6
VCF0351,Democratic Presidential Cand- Compassionate,Democratic Presidential candidate trait - compassionate,1-4,8;9,"1984, 1988, 1992, 1996",Yes,6
VCF0352,Democratic Presidential Cand- Decent,Democratic Presidential candidate trait - decent,1-4,8;9,"1984, 1988",Yes,6
VCF0353,Democratic Presidential Cand- Inspiring,Democratic Presidential candidate trait - inspiring,1-4,8;9,"1980, 1984, 1988, 1992, 1996",Yes,6
VCF0354,Democratic Presidential Cand- Knowledgeable,Democratic Presidential candidate trait - knowledgeable,1-4,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008",Yes,6
VCF0355,Democratic Presidential Cand- Moral,Democratic Presidential candidate trait - moral,1-4,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008",Yes,6
VCF0356,Democratic Presidential Cand- Leadership,Democratic Presidential candidate trait - provides strong leadership,1-4,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008",Yes,6
VCF0357,Democratic Presidential Cand- Cares,"Democratic Presidential candidate trait - really cares about
people
like you",1-4,8;9,"1984, 1988, 1992, 1996, 2000, 2004, 2008",Yes,6
VCF0358,Democratic Presidential Cand- Angry,Democratic Presidential candidate affect: angry,1-2,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016",Yes,4
VCF0359,Democratic Presidential Cand- Afraid,Democratic Presidential candidate affect: afraid (of him/her),1-2,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016",Yes,4
VCF0360,Democratic Presidential Cand- Hopeful,Democratic Presidential candidate affect: hopeful,1-2,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016",Yes,4
VCF0361,Democratic Presidential Cand- Proud,Democratic Presidential candidate affect: proud,1-2,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016",Yes,4
VCF0362,Republican Presidential Cand- Intelligent,Republican Presidential candidate trait - intelligent,1-4,8;9,"1984, 1988, 1992, 2000, 2004, 2008",Yes,6
VCF0363,Republican Presidential Cand- Compassionate,Republican Presidential candidate trait - compassionate,1-4,8;9,"1984, 1988, 1992",Yes,6
VCF0364,Republican Presidential Cand- Decent,Republican Presidential candidate trait - decent,1-4,8;9,"1984, 1988",Yes,6
VCF0365,Republican Presidential Cand- Inspiring,Republican Presidential candidate trait - inspiring,1-4,8;9,"1980, 1984, 1988, 1992, 1996",Yes,6
VCF0366,Republican Presidential Cand- Knowledgeable,Republican Presidential candidate trait - knowledgeable,1-4,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008",Yes,6
VCF0367,Republican Presidential Cand- Moral,Republican Presidential candidate trait - moral,1-4,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008",Yes,6
VCF0368,Republican Presidential Cand- Leadership,Republican Presidential candidate trait - provides strong leadership,1-4,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008",Yes,6
VCF0369,Republican Presidential Cand- Cares,"Republican Presidential candidate trait - really cares about
people
like you",1-4,8;9,"1984, 1988, 1992, 1996, 2000, 2004, 2008",Yes,6
VCF0370,Republican Presidential Cand- Angry,Republican Presidential candidate affect: angry,1-2,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016",Yes,4
VCF0371,Republican Presidential Cand- Afraid,Republican Presidential candidate affect: afraid (of him),1-2,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016",Yes,4
VCF0372,Republican Presidential Cand- Hopeful,Republican Presidential candidate affect: hopeful,1-2,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016",Yes,4
VCF0373,Republican Presidential Cand- Proud,Republican Presidential candidate affect: proud,1-2,8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016",Yes,4
VCF0374,Likes Anything about Democratic party,"Is there anything in particular that you like about the
Democratic
party?",1-5,8;9,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0375a,1972-2004 Mention 1: Like About Democratic Party,"Is there anything in particular that you like about the
Democratic
party?
What is that? Anything else [you like about th",,8888;8889,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,2
VCF0375b,1972-2004 Mention 1: Like About Democratic Party COLLAPSED,"Is there anything in particular that you like about the
Democratic
party?
What is that? Anything else [you like about th",11-50,88;89,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,15
VCF0375c,1952-1968 Mention 1: Like About Democratic Party,"Is there anything in particular that you like about the
Democratic
party?
What is that? Anything else [you like about th",,9987;9988;9989,"1952, 1956, 1958, 1960, 1964, 1968",Yes,3
VCF0375d,1952-1968 Mention 1: Like About Democratic Party COLLAPSED,"Is there anything in particular that you like about the
Democratic
party?
What is that? Anything else [you like about th",1-10,87;89,"1952, 1956, 1958, 1960, 1964, 1968",Yes,12
